4-ethyl-3,4-dihydroquinazolin-2-amine	HTR5A
gene therapy, ifn-alpha, pinc	IFNA8
leucettamine a	LTB4R
mln-591rl	FOLH1
(e)-3-(2,3-dichlorophenylimino)indolin-2-one	GALR3
s-prant	PGR
3-(4-aminophenyl)thieno[3,2-c]pyridin-4-amine	KDR
nu-8231	MDM2
nu-8231	TP53
kc-11458	MLNR
gw4065	NR1H4
tg-100435	RET
tg-100435	PDGFRB
tg-100435	FGFR2
tg-100435	YES1
tg-100435	ABL1
tg-100435	KDR
tg-100435	LCK
tg-100435	SRC
tg-100435	EPHB4
bph-628	GGPS1
boc-tyr(so3h)-nle-gly-trp-nle-asp-phe-nh2	CCKAR
gft-505	PPARD
gft-505	PPARA
(1,2,3,4-tetrahydro-isoquinolin-3-yl)-methanol	ADRA2C
(1,2,3,4-tetrahydro-isoquinolin-3-yl)-methanol	ADRA2B
(1,2,3,4-tetrahydro-isoquinolin-3-yl)-methanol	ADRA2A
phenyl 1-(4-butoxyphenyl)propylcarbamate	FAAH
n5-[4-(2-oxo-3-phenylpropoxy)phenyl]-l-glutamine	LTA4H
4-(isoquinolin-5-yl)-n-m-tolylphthalazin-1-amine	KDR
4-(isoquinolin-5-yl)-n-m-tolylphthalazin-1-amine	FLT1
prx-00023	HTR1A
4-(3-fluorophenylethynyl)-2-thiazolylamine	GRM5
3-(2-(naphthalen-2-ylmethyl)phenyl)acrylic acid	PTGER2
3-(2-(naphthalen-2-ylmethyl)phenyl)acrylic acid	PTGER4
3-(2-(naphthalen-2-ylmethyl)phenyl)acrylic acid	PTGER3
4-(3-cyanobenzylthio)-2-aminobutanoic acid	CACNA2D1
4-(3-cyanobenzylthio)-2-aminobutanoic acid	CACNG1
(2r,5r)-delta-methyl-alpha-acetylenic putrescine	ODC1
inc-106	AGTR1
fggftgarksark	OPRL1
3-amino-5-(4-octylphenyl)pentanoic acid	S1PR1
compound 67	TGFBR1
4-hydroxy-4-phenyl-but-2-enoic acid	SLC52A2
6-chloro-n-(2-morpholinoethyl)nicotinamide	MAOA
enflurane	ATP2C1
enflurane	GABRD
enflurane	GABRG2
enflurane	GABRG3
enflurane	GABRA1
enflurane	GRIA1
enflurane	GABRG1
enflurane	GLRA1
enflurane	GLRB
enflurane	GABRA4
enflurane	GABRA2
enflurane	GABRE
enflurane	GABRP
enflurane	GABRB3
enflurane	GABRQ
enflurane	KCNA1
enflurane	GABRA3
enflurane	GABRA5
enflurane	GABRA6
enflurane	GABRB1
enflurane	GABRB2
enoxaprin	F2
177lu-amba	GRPR
11-keto-beta-boswellicacid	HSD11B2
11-keto-beta-boswellicacid	HSD11B1
fr-123826	PTGS2
4-(cyclohexylamino)-1-naphthol	IDO1
mln1117	PIK3CA
(-)-phenserine	BCHE
(-)-phenserine	ACHE
acnpy(25-36)	NPY2R
h-dmt-tic-lys(z)-nh-ch2-ph	OPRD1
h-dmt-tic-lys(z)-nh-ch2-ph	OPRM1
ac-icvwqdwgahrct-nh2	C3
2,2-bis-(2-fluorophenyl)-2-phenylacetamide	KCNN4
2,2-bis-(2-fluorophenyl)-2-phenylacetamide	KCNMA1
himbacine	CHRM2
himbacine	CHRM1
3-[1'-{4'-(benzyloxy)-phenyl}]-quinuclidine-2-ene	FDFT1
cep-5214	KDR
zabiciprilat	ACE
n-(2,6-dimethylphenyl)-n'-hydroxyoctanediamide	HDAC1
(r)-(-)-2-methoxy-n-npropylnorapomorphine	DRD2
(r)-(-)-2-methoxy-n-npropylnorapomorphine	DRD1
dichloroisoproterenol	ADRB1
dichloroisoproterenol	ADRB2
