
TTD - Therapeutic Targets Database Full Data Download File
Version 6.1.01 (2017.10.04)
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/group/bidd.htm
Any question about data provided here, please contact with:
Prof. Chen (csccyz@nus.edu.sg) and Prof. Zhu (zhufeng@cqu.edu.cn, http://idrb.cqu.edu.cn/Peoples-PI.php)

--------------------------------------------------------------------------------------------------------

TTDDRUGID	LNM	Indication	ICD9	ICD10
D00ABE	ALD-301	Ischemia	459.89	I99.8
D00ABO	KW-2449	Acute myeloid leukemia	205	C92.0
D00ABW	Opterone	Hormone deficiency		E00-E90
D00ACC	ND1251	Depression	311	F30-F39
D00ACH	HMR-4004	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00ACP	Anti-HER-2 mab-FcgR2- FcgR4 fusion proteins	Cancer	140-229	C00-C96
D00ADV	THF carbapenems	Gram-positive bacterial infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	
D00AEQ	Hydroxyprogesterone	Cancer	140-229	C00-C96
D00AEV	Oxothiazolidine carboxylate	Human immunodeficiency virus infection	279.3	B20-B26
D00AHT	PRAME antigen-specific cancer immunotherapeutic	Metastatic melanoma; Non-small cell lung cancer	162, 172	C33-C34, C43
D00AHV	SKL-PD	Central nervous system disease		G00-G99
D00AIS	AP-11014	Cancer	140-229	C00-C96
D00AIZ	SND-159	Mycobacterium tuberculosis infection		A15-A19
D00AJI	PF-4480682	Neuropathic pain	356.0, 356.8	G64, G90.0
D00AJS	AIK11	Non-insulin dependent diabetes		E11.9
D00AKL	Immunose FLU	Influenza virus		J11.1
D00AKQ	O-desulfated heparin	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D00AKR	AMG 479	Breast cancer	174, 175	C50
D00AKR-D0D7LA	amg 479 + metformin	Breast cancer	174, 175	C50
D00AKR-D0K3QS	rad001 + amg479	Neoplasm metastases		C00-D48
D00AKV	F-351	Liver disease	570-574	K70-K77
D00AKY	SK&F-S-106203	Asthma		J45
D00ALE	H1N1 pandemic influenza vaccine	Influenza virus		J11.1
D00ALJ	Placental expanded stem cell therapy	Peripheral vascular disorder		I73.9
D00AMQ	Ethanol	Intractable chronic pain; Cystitis	338, 780	R52, G89, N30
D00ANG	Erythropoietin-transfected autologous cell therapy	Anemia	280-285	D50-D64
D00AOJ	Docosanol	Herpes simplex virus infection	54	B00
D00AQV	COTI-4A	Small-cell lung cancer	162.9	C33-C34
D00AQY	IDDB-41331	Obesity	278	E66
D00ARN	Tyloxapol	Cystic fibrosis	277	E84
D00ARS	MER-3001	Type 1 diabetes	250	E10
D00ARZ	Huntingtons disease therapy	Huntington's disease	294.1, 333.4	F02.2, G10
D00ASJ	Typherix	Salmonella infection		A02.9
D00ASX	PJ-015	Hyperlipidaemia	272.0-272.4	E78
D00AUC	(99M)-TC-CPI	Diagnostic imaging	331	G30, I73.9
D00AUM	AQU-010	Neuropathic pain	356.0, 356.8	G64, G90.0
D00AUX	MSDC-0602	Type 2 diabetes	250	E11
D00AUZ	Thiolated chitosan nanoparticle theophylline	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D00AVG	GX-110E	HBV infection	070.2-070.3	B16, B18.0, B18.1
D00AVH	VEN100	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D00AWA	WIN-63759	Emphysema	492	J43
D00AWT	Propericiazine	Psychiatric disorder	290-319	F01-F99
D00AXG	SMT-14224	Non-insulin dependent diabetes		E11.9
D00AXJ	Miconazole	Fungal infections	110-118	B35-B49
D00AXJ-D09OOV	Miconazole + Polymyxin B Sulfate	Gram-negative and gram-positive bacteria and yeast		A00-B99
D00AXT	MDC-922	Cancer	140-229	C00-C96
D00AXZ	CAP-22	Diabetic angiopathy	250.7	E10.5, E11.5, E13.5
D00AYA	BMS-188797	Cancer	140-229	C00-C96
D00BBB	MetPril	Hypertension	401	I10-I16
D00BCG	Goserelin	Breast cancer; Prostate cancer	174, 175, 185	C50, C61
D00BCG-D07KSG	tamoxifen + goserelin	Breast cancer	174, 175	C50
