DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia ID,Drugs.com Link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB00001,Lepirudin,138068-37-8,BiotechDrug,,D06880,,46507011,,PA450195,,P01050,ITH1_HIRME,,11916,http://www.rxlist.com/cgi/generic/lepirudin.htm,,Lepirudin,http://www.drugs.com/cdi/lepirudin.html,,,,DAP000541
DB00002,Cetuximab,205923-56-4,BiotechDrug,,D03455,,46507042,,PA10040,,,,J00228,13175,http://www.rxlist.com/cgi/generic3/erbitux.htm,,Cetuximab,http://www.drugs.com/cdi/cetuximab.html,,,,DNC000788
DB00003,Dornase alfa,143831-71-4,BiotechDrug,,,,46507792,,PA10318,,P24855,DNAS1_HUMAN,M55983,650,http://www.rxlist.com/cgi/generic/pulmozyme.htm,,Dornase_alfa,http://www.drugs.com/cdi/dornase-alfa.html,,,,DAP000981
DB00004,Denileukin diftitox,173146-27-5,BiotechDrug,,,,46506950,,PA164750594,,P00587,DTX_COROM,V01536,"",http://www.rxlist.com/cgi/generic2/denileukin.htm,,Denileukin_diftitox,http://www.drugs.com/cdi/denileukin-diftitox.html,,,,DAP001098
DB00005,Etanercept,185243-69-0,BiotechDrug,C07897,D00742,,46506732,,PA449515,,P20333,TNR1B_HUMAN,M32315,12032,http://www.rxlist.com/cgi/generic/etanercept.htm,,Etanercept,http://www.drugs.com/cdi/etanercept.html,,,,DNC000605
DB00006,Bivalirudin,128270-60-0,SmallMoleculeDrug,,D03136,16129704,46507415,59173,PA10032,,,,,12945,http://www.rxlist.com/cgi/generic/angiomax.htm,,Bivalirudin,http://www.drugs.com/cdi/bivalirudin.html,,10482069,,DAP000542
DB00007,Leuprolide,53714-56-0,BiotechDrug,C07612,D08113,,46507635,6427,PA450203,,,,,1756,http://www.rxlist.com/cgi/generic/eligard.htm,,Leuprolide,http://www.drugs.com/cdi/leuprolide.html,,,,DAP000020
DB00008,Peginterferon alfa-2a,198153-51-4,BiotechDrug,,,,46504860,,PA164749390,,P01563,IFNA2_HUMAN,J00207,13246,http://www.rxlist.com/cgi/generic3/pegasys.htm,,Peginterferon_alfa-2a,http://www.drugs.com/cdi/peginterferon-alfa-2a.html,,,,DAP001278
DB00009,Alteplase,105857-23-6,BiotechDrug,,D02837,,46507035,,PA164776730,,P00750,TPA_HUMAN,L00153,7297,http://www.rxlist.com/cgi/generic/alteplas.htm,,Alteplase,http://www.drugs.com/cdi/alteplase.html,,,,DAP000203
DB00010,Sermorelin,86168-78-7,BiotechDrug,C08192,,,46507399,,PA164749110,,,,,"",http://www.rxlist.com/cgi/generic2/sermorelin.htm,,Sermorelin,http://www.drugs.com/cdi/sermorelin-acetate.html,,,,DAP001055
DB00011,Interferon alfa-n1,74899-72-2,BiotechDrug,,,,46506227,,PA164746538,,P01563,IFNA2_HUMAN,J00207,7651,,,,,,,,DAP001280
DB00012,Darbepoetin alfa,209810-58-2,BiotechDrug,,,,46504480,,PA164743138,,P01588,EPO_HUMAN,X02158,12550,http://www.rxlist.com/cgi/generic/aranesp.htm,,Darbepoetin_alfa,http://www.drugs.com/cdi/darbepoetin-alfa-albumin.html,,,,DAP000800
DB00013,Urokinase,9039-53-6,BiotechDrug,,,,46506299,,PA451836,,P00749,UROK_HUMAN,X02419,2012,http://www.rxlist.com/cgi/pharmclips2.cgi?keyword=%20Abbokinase%AE,,Urokinase,http://www.drugs.com/mtm/urokinase.html,,,,DAP001194
DB00014,Goserelin,65807-02-5,SmallMoleculeDrug,,D00573,5311128,46507336,5523,PA164747674,,,,,11167,http://www.rxlist.com/cgi/generic/goserel.htm,,Goserelin,http://www.drugs.com/cdi/goserelin.html,,4470656,,DAP000023
DB00015,Reteplase,133652-38-7,BiotechDrug,,,,46506092,,PA164743728,,P00750,TPA_HUMAN,L00153,11534,http://www.rxlist.com/cgi/generic2/reteplase.htm,,Reteplase,http://www.drugs.com/cdi/reteplase.html,,,,DAP001195
DB00016,Erythropoietin,11096-26-7,BiotechDrug,,,,46508122,,PA10072,,P01588,EPO_HUMAN,X02158,299,http://www.rxlist.com/cgi/generic/epoetin.htm,,Epoetin_alfa,http://www.drugs.com/cdi/epoetin-alfa.html,,,,DAP000202
DB00017,Salmon Calcitonin,47931-85-1,BiotechDrug,C06865,D00249,,46506061,,PA448715,,P01263,CALC1_ONCKE,Y00765,13186,http://www.rxlist.com/cgi/generic2/calcit.htm,,Calcitonin,,,,,DAP001302
DB00018,Interferon alfa-n3,"",BiotechDrug,,,,46508902,,PA164746228,,,,,"",,,,http://www.drugs.com/cdi/interferon-alfa-n3-solution.html,,,,DAP001281
DB00019,Pegfilgrastim,208265-92-3,BiotechDrug,,D06889,,46505853,,PA164781387,,P09919,CSF3_HUMAN,X03438,12313,http://www.rxlist.com/cgi/generic3/neulasta.htm,,Pegfilgrastim,http://www.drugs.com/cdi/pegfilgrastim.html,,,,DAP000395
DB00020,Sargramostim,123774-72-1,BiotechDrug,,,,46507000,,PA164748631,,P04141,CSF2_HUMAN,M13207,"",http://www.rxlist.com/cgi/generic/sargramostim.htm,,Sargramostim,http://www.drugs.com/cdi/sargramostim.html,,,,DAP001053
DB00021,Secretin,"",BiotechDrug,,,,46508060,,PA164760844,,,,,2067,http://www.rxlist.com/cgi/generic3/secretin.htm,,Secretin,http://www.drugs.com/human_secretin.html,,,,DAP001296
DB00022,Peginterferon alfa-2b,215647-85-1,BiotechDrug,,,,46506669,,PA164784024,,P01563,IFNA2_HUMAN,,12036,http://www.rxlist.com/cgi/generic2/peginterferon.htm,,Peginterferon_alfa-2b,http://www.drugs.com/cdi/peginterferon-alfa-2b.html,,,,DAP001279
DB00023,Asparaginase,9015-68-3,BiotechDrug,,,,46507633,,PA448492,,P37595,ASGX_ECOLI,U00096,2433,http://www.rxlist.com/cgi/generic3/asparaginase.htm,,Asparaginase,http://www.drugs.com/cdi/asparaginase.html,,,,
DB00024,Thyrotropin Alfa,194100-83-9,BiotechDrug,,,,46505696,,PA164746560,,P01225,FSHB_HUMAN,M16647,12790,http://www.rxlist.com/cgi/generic2/thyrotropin.htm,,,http://www.drugs.com/cdi/thyrotropin-alfa.html,,,,DAP001248
DB00025,"Antihemophilic factor, human recombinant",139076-62-3,BiotechDrug,,,,46506209,,PA164750168,,P00451,FA8_HUMAN,M14113,745; 9847; 12787; 22826,http://www.rxlist.com/cgi/generic2/hemofilm.htm,,Antihemophilic_Factor,http://www.drugs.com/cdi/antihemophilic-factor-human.html,,,,
DB00026,Anakinra,143090-92-0,BiotechDrug,,D02934,,46507944,,PA10799,,P18510,IL1RA_HUMAN,M55646,12604,http://www.rxlist.com/cgi/generic/anakinra.htm,,Anakinra,http://www.drugs.com/cdi/anakinra.html,,,,DAP000095
DB00027,Gramicidin D,1405-97-6,SmallMoleculeDrug,,D04369,45267103,46507412,,PA449808,,,,,8523,,,Gramicidin_D,,,24623445,,DAP001327
DB00028,Immune Globulin Human,9007-83-4,BiotechDrug,,,,46508774,,PA164754884,,P01877,IGHA2_HUMAN,J00221,7773; 15161,http://www.rxlist.com/cgi/generic2/baygam.htm,,,http://www.drugs.com/cdi/immune-globulin-human.html,,,,
DB00029,Anistreplase,81669-57-0,BiotechDrug,,,,46504487,,PA164769075,,P00750,TPA_HUMAN,L00153,1199,,,Anistreplase,,,,,DAP001197
DB00030,Insulin Human,11061-68-0,BiotechDrug,C00723,D03230,,46506231,5931,PA164744571,,Q8HXV2,INS_PONPY,AY137503,20125; 7672; 7671,http://www.rxlist.com/cgi/generic3/novolog.htm,,Insulin,http://www.drugs.com/pro/humulin-r.html,,,,DAP000802
DB00031,Tenecteplase,191588-94-0,BiotechDrug,,D06070,,46508657,,PA164776757,,P00750,TPA_HUMAN,L00153,12468,http://www.rxlist.com/cgi/generic2/tenecteplase.htm,,Tenecteplase,http://www.drugs.com/mtm/tenecteplase.html,,,,DAP000204
