DrugBank ID,Accession Numbers,Common name,CAS,UNII,Synonyms,Standard InChI Key
DB00001,BTD00024 | BIOD00024,Lepirudin,138068-37-8,Y43GF64R34,Hirudin variant-1 | Lepirudin recombinant,
DB00002,BTD00071 | BIOD00071,Cetuximab,205923-56-4,PQX0D8J21J,"Cetuximab | Cétuximab | Cetuximabum | Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer",
DB00003,BTD00001 | BIOD00001,Dornase alfa,143831-71-4,953A26OA1Y,"Deoxyribonuclease (human clone 18-1 protein moiety) | Dornase alfa, recombinant | Dornase alpha | Recombinant deoxyribonuclease (DNAse)",
DB00004,BTD00084 | BIOD00084,Denileukin diftitox,173146-27-5,25E79B5CTM,Diphtheria toxin precursor | DT | NAD(+--diphthamide ADP- ribosyltransferase),
DB00005,BTD00052 | BIOD00052,Etanercept,185243-69-0,OP401G7OJC,CD120b | p75 | p80 TNF-alpha receptor | TNF-R2 | Tumor necrosis factor receptor 2 | Tumor necrosis factor receptor superfamily member 1B precursor | Tumor necrosis factor receptor type II,
DB00006,BTD00076 | EXPT03302 | BIOD00076 | DB02351,Bivalirudin,128270-60-0,TN9BEX005G,Bivalirudina | Bivalirudinum | Hirulog,OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007,BTD00009 | BIOD00009,Leuprolide,53714-56-0,EFY6W0M8TG,"(D-Leu(6),des-gly-NH2(10),pro-ethylamide(9))-gonadotropin-releasing hormone | L-Pyroglutamyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-D-leucyl-L-leucyl-L-arginyl-L-proline ethylamide | Leuprorelin | Leuprorelina | Leuproreline | Leuprorelinum | PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-NHC2H5 | PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-nhet",
DB00008,BTD00043 | BIOD00043,Peginterferon alfa-2a,198153-51-4,Q46947FE7K,Pegylated interferon alfa-2a | Pegylated interferon alpha2a,
DB00009,BTD00050 | BIOD00050,Alteplase,105857-23-6,1RXS4UE564,"Alteplase (genetical recombination) | Alteplase, recombinant | Alteplase,recombinant | Plasminogen activator (human tissue-type protein moiety) | rt-PA | t-PA | t-plasminogen activator | Tissue plasminogen activator | Tissue plasminogen activator alteplase | Tissue plasminogen activator, recombinant | tPA",
DB00010,BTD00033 | BIOD00033,Sermorelin,86168-78-7,89243S03TE,"",
DB00011,BTD00096 | BIOD00096 | DB00084,Interferon alfa-n1,74899-72-2,41697D4Z5C,Interferon alpha-2 | Interferon alpha-A | Interferon alpha-n1 (Ins) | LeIF A,
DB00012,BTD00032 | BIOD00032,Darbepoetin alfa,209810-58-2,15UQ94PT4P,"Darbepoetin | Darbepoetin alfa,recombinant",
DB00013,BTD00030 | BIOD00030,Urokinase,9039-53-6,83G67E21XI,U-plasminogen activator | uPA | Urokinase-type plasminogen activator precursor,
DB00014,BTD00113 | BIOD00113,Goserelin,65807-02-5,0F65R8P09N,"",BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00015,BTD00013 | BIOD00013,Reteplase,133652-38-7,DQA630RIE9,"Human t-PA (residues 1-3 and 176-527) | Reteplase, recombinant | Reteplase,recombinant",
DB00016,BTD00103 | BIOD00103 | DB08923,Erythropoietin,11096-26-7,64FS3BFH5W,"E.P.O. | Epoetin alfa | Epoetin alfa rDNA | Epoetin alfa, recombinant | Epoetin beta | Epoetin beta rDNA | Epoetin epsilon | Epoetin gamma | Epoetin gamma rDNA | Epoetin kappa | Epoetin omega | Epoetin theta | Epoetin zeta | Epoetina dseta | Epoétine zêta | Epoetinum zeta | Erythropoiesis stimulating factor | Erythropoietin (human, recombinant) | Erythropoietin (recombinant human) | ESF | SH-polypeptide-72",
DB00017,BTD00025 | BIOD00025,Salmon Calcitonin,47931-85-1,7SFC6U2VI5,"Calcitonin (Salmon Synthetic) | Calcitonin Salmon | Calcitonin salmon recombinant | Calcitonin-salmon | Calcitonin, salmon | Recombinant salmon calcitonin | Salmon calcitonin",
DB00018,BTD00023 | BIOD00023,Interferon alfa-n3,"",47BPR3V3MP,"",
DB00019,BTD00094 | BIOD00094,Pegfilgrastim,208265-92-3,3A58010674,Granulocyte colony-stimulating factor pegfilgrastim | Peg-filgrastim,
DB00020,BTD00035 | BIOD00035,Sargramostim,123774-72-1,5TAA004E22,GM-CSF,
DB00021,BTD00039 | BIOD00039,Secretin,"",88C55N56UU,"",
DB00022,BTD00048 | BIOD00048,Peginterferon alfa-2b,215647-85-1,G8RGG88B68,"",
DB00023,BTD00011 | BIOD00011,Asparaginase,9015-68-3,G4FQ3CKY5R,Asparaginase (E. coli) | Escherichia coli L-asparaginase | L-asparaginase | L-asparagine amidohydrolase,
DB00024,BTD00020 | BIOD00020,Thyrotropin Alfa,194100-83-9,AVX3D5A4LM,rTSH | Thyroid stimulating hormone | Thyrotrophin-alfa | Thyrotrophin-alpha | Thyrotropin | Thyrotropin-a | Thyrotropin-alpha | Thytrophin | TSH,
DB00025,BTD00029 | BIOD00029 | DB13162,"Antihemophilic factor, human recombinant",139076-62-3,P89DR4NY54,"Antihemophilic factor (recombinant) | Antihemophilic Factor (Recombinant), Plasma/Albumin-Free Method | Antihemophilic factor recombinant | Antihemophilic factor, recombinant | Antihemophilic factor,recombinant | Factor VIII (rDNA) | Factor VIII (Recombinant) | Factor VIII recombin | Factor VIII, recombinant | Human Factor VIII (Recombinant) | Human factor VIII recombinant | rAHF | Recombinant antihemophilic factor VIII",
DB00026,BTD00060 | BIOD00060,Anakinra,143090-92-0,9013DUQ28K,ICIL-1RA | IL-1ra | IL-1RN | IL1 inhibitor | Interleukin-1 receptor antagonist protein precursor | IRAP,
DB00027,BTD00036 | BIOD00036,Gramicidin D,1405-97-6,5IE62321P4,Bacillus brevis gramicidin D | Gramicidin | Gramicidin A | Gramicidin B | Gramicidin C | Gramicidine,NDAYQJDHGXTBJL-MWWSRJDJSA-N
DB00028,BTD00091 | BIOD00091,Immune Globulin Human,9007-83-4,66Y330CJHS,"Human IGG | Human Immunoglobulin G | Human Normal Immunoglobulin | Immune globulin (human) | Immune Globulin Intravenous | Immune Globulin Subcutaneous | Immunoglobulin G (human) | Immunoglobulin G, Human | Intravenous Immunoglobulin | IVIg",
DB00029,BTD00102 | BIOD00102,Anistreplase,81669-57-0,5O8V541HJ6,Anisoylated plasminogen streptokinase activator complex | APSAC,
DB00030,BTD00105 | BIOD00105 | DB01383 | DB05278 | DB05215 | DB05283 | DB08914,Insulin Human,11061-68-0,1Y17CTI5SR,"High molecular weight insulin human | Human insulin | human insulin (rDNA) | Insulin (human) | Insulin human [rDNA origin] | Insulin Human Regular | Insulin human regular (rDNA) | Insulin human, rDNA origin | Insulin recombinant human | Insulin recombinant purified human | Insulin regular | Insulin, human | Regular Insulin, human",
DB00031,BTD00019 | BIOD00019,Tenecteplase,191588-94-0,WGD229O42W,TNK-tPA,
DB00032,BTD00018 | BIOD00018,Menotropins,9002-68-0,5Y9QQM372Q,Human menopausal gonadotrophin | Menotrophin | Menotropin | Menotropins (FSH;LH),
DB00033,BTD00017 | BIOD00017,Interferon gamma-1b,98059-61-1,21K6M2I7AG,"IFN-gamma-1b | Interferon gamma-1b, recombinant | Interferon gamma-2a",
DB00034,BTD00095 | BTD00012 | BIOD00095 | BIOD00012 | DB00037,"Interferon Alfa-2a, Recombinant",76543-88-9,47RRR83SK7,"Interferon alfa-2a | Interferon alfa-2a (recombinant) | Interferon alfa-2a, recombinant | Interferon alfa-2a,recombinant | Interferon alpha-2a | Interferon-alfa-2a | Recombinant human interferon alfa-2a | Recombinant human interferon-alfa-2a | rIFN-alpha-2a | SH-polypeptide-46",
DB00035,BTD00112 | BTD00061 | BIOD00112 | BIOD00061,Desmopressin,16679-58-6,ENR1LLB0FP,1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin | 1-deamino-8-D-arginine vasopressin | 1-Desamino-8-D-arginine vasopressin | DDAVP | Desmopresina | Desmopressin | Desmopressine | Desmopressinum,NFLWUMRGJYTJIN-NXBWRCJVSA-N
DB00036,BTD00006 | BIOD00006,Coagulation factor VIIa Recombinant Human,102786-61-8,AC71R787OV,Coagulation factor VIIa | Coagulation factor VIIa (recombinant) | Eptacog alfa | Eptacog alfa (activated) | rFVIIa,
DB00038,BTD00021 | BIOD00021,Oprelvekin,145941-26-0,HM5641GA6F,Adipogenesis inhibitory factor | AGIF | IL-11 | Interleukin-11 precursor,
DB00039,BTD00042 | BIOD00042,Palifermin,162394-19-6,QMS40680K6,24-163 fibroblast growth factor 7 (human),
DB00040,BTD00057 | BIOD00057,Glucagon recombinant,16941-32-5,76LA80IG2G,"Glucagon | Glucagon (recombinant dna origin) | Glucagon, human | Glucagon, porcine | Glucagone | Glucagonum",
DB00041,BTD00082 | BIOD00082,Aldesleukin,110942-02-4,M89N0Q7EQR,"125-L-serine-2-133-interleukin 2 (human reduced) | Interleukin-2 aldesleukin | Interleukin-2(2-133),125-ser | Recombinant interleukin-2 human",
DB00042,BTD00070 | BIOD00070,Botulinum Toxin Type B,93384-44-2,0Y70779M1F,Botulinum neurotoxin type B precursor | BTX-B | RimabotulinumtoxinB,
DB00043,BTD00081 | BIOD00081,Omalizumab,242138-07-4,2P471X1Z11,"",
DB00044,BTD00056 | BIOD00056,Lutropin alfa,152923-57-4,3JGY52XJNA,ICSH | Insterstiial cell-stimulating hormone | LH | LH-B | LSH- beta | LSH-B | Luteinizing hormone | Luteinizing hormone beta subunit | Lutrophin | Lutropin alpha | Lutropin beta chain precursor,
DB00045,BTD00054 | BIOD00054,Lyme disease vaccine (recombinant OspA),,TA735GI14L,Lipoprotein OspA antigen recombinant | Lipoprotein outer surface a borrelia burgdorferi antigen | OspA lipoprotein,
