ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
P45059,Peptidoglycan synthase FtsI,ftsI,1574687,L42023,P45059,FTSI_HAEIN,"",,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00303
P00488,Coagulation factor XIII A chain,F13A1,182309,M22001,P00488,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY,,F13A1,HGNC:3531,Human,DB11311; DB13151
P35228,"Nitric oxide synthase, inducible",NOS2,292242,L09210,P35228,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS,,NOS2A,HGNC:7873,Human,DB08814
Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888,AF129133,Q9P0X4,CAC1I_HUMAN,"",,CACNA1I,HGNC:1396,Human,DB00568; DB00617; DB00909; DB01388; DB04841
P30542,Adenosine receptor A1,ADORA1,256155,S45235,P30542,AA1R_HUMAN,"",,ADORA1,HGNC:262,Human,DB00201; DB00277; DB00640; DB00651; DB00806; DB01223; DB01303; DB01412
P00519,Tyrosine-protein kinase ABL1,ABL1,28237,X16416,P00519,ABL1_HUMAN,1AB2; 1ABL; 1AWO; 1BBZ; 1JU5; 1OPL; 1ZZP; 2ABL; 2E2B; 2F4J; 2FO0; 2G1T; 2G2F; 2G2H; 2G2I; 2GQG; 2HIW; 2HYY; 2HZ0; 2HZ4; 2HZI; 2O88; 2V7A; 3CS9; 3EG0; 3EG1; 3EG2; 3EG3; 3EGU; 3K2M; 3PYY; 3QRI; 3QRJ; 3QRK; 3T04; 3UE4; 3UYO; 4J9B; 4J9C; 4J9D; 4J9E; 4J9F; 4J9G; 4J9H; 4J9I; 4JJB; 4JJC; 4JJD; 4TWP; 4WA9; 4XEY,,ABL1,HGNC:76,Human,DB01254; DB04868; DB06616; DB08896; DB08901; DB12323
P12319,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,31318,X06948,P12319,FCERA_HUMAN,1ALS; 1ALT; 1F2Q; 1F6A; 1J86; 1J87; 1J88; 1J89; 1RPQ; 2Y7Q,,FCER1A,HGNC:3609,Human,DB00043; DB00895
P00451,Coagulation factor VIII,F8,182818,M14113,P00451,FA8_HUMAN,1CFG; 1D7P; 1FAC; 1IQD; 2R7E; 3CDZ; 3HNB; 3HNY; 3HOB; 3J2Q; 3J2S; 4BDV; 4KI5; 4PT6,,F8,HGNC:3546,Human,DB00055; DB00100; DB13151; DB13152
P23219,Prostaglandin G/H synthase 1,PTGS1,387018,M31822,P23219,PGH1_HUMAN,"",,PTGS1,HGNC:9604,Human,DB00154; DB00159; DB00244; DB00316; DB00586; DB00788; DB00795; DB00812; DB00870; DB00936; DB00939; DB00945; DB00991; DB01014; DB01050; DB01283; DB01397; DB01399; DB01600; DB06725; DB06736; DB08814
P0A7V8,30S ribosomal protein S4,rpsD,42798,X02543,P0A7V8,RS4_ECOLI,1EG0; 1M5G; 2YKR; 3J9Y; 3J9Z; 3JA1; 4A2I; 4ADV; 4U1U; 4U1V; 4U20; 4U24; 4U25; 4U26; 4U27; 4V47; 4V48; 4V4H; 4V4Q; 4V4V; 4V4W; 4V50; 4V52; 4V53; 4V54; 4V55; 4V56; 4V57; 4V5B; 4V5H; 4V5Y; 4V64; 4V65; 4V66; 4V69; 4V6C; 4V6D; 4V6E; 4V6K; 4V6L; 4V6M; 4V6N; 4V6O; 4V6P; 4V6Q; 4V6R; 4V6S; 4V6T; 4V6V; 4V6Y; 4V6Z; 4V70; 4V71; 4V72; 4V73; 4V74; 4V75; 4V76; 4V77; 4V78; 4V79; 4V7A; 4V7B; 4V7C; 4V7D; 4V7I; 4V7S; 4V7T; 4V7U; 4V7V; 4V85; 4V89; 4V9C; 4V9D; 4V9O; 4V9P; 4WF1; 4WOI; 4WWW; 4YBB; 5AFI,,,,Escherichia coli (strain K12),DB00254; DB00453; DB00595; DB00618; DB01017
